english,kky,tsc,category,image,audio,submitted by
boy,gara kazi,,,,,casey
boy,magi-tiom,,,,,casey
brain,tigi,,,,,casey
branch,tam,,,,,casey
bread,areto,,,,,casey
bread-fruit,ti,,,,,casey
break,papalamiz,,verb,,,casey
break,patidan,,verb,,,casey
breast,da,,,,,casey
breast,susu,,,,,casey
breast,dǔra,,,,,casey
breath,ngana,,,,,casey
bridegroom,mabaeg-kain-ipi-gasaman,,,,,casey
bridge,do,,,,,casey
bright,meakata,,,,,casey
bring,mani,,,,,casey
bring,ngapa,,,,,casey
bring,angan,,,,,casey
broad,atadonga,,,,,casey
brood,apukazi,,,,,casey
brother,kuitag,,,,,casey
brother,kui-kuiga,,,,,casey
brother,ngaubatö,,,,,casey
brother,to-kiǔp,,,,,casey
brother,babǔd,,,,,casey
brow,,,,,,casey
bud,,,,,,casey
build,,,,,,casey
bullroarer,,,,,,casey
calico,dumawaku,,adjective,,,eric
call,walmizin,,verb,,,eric
call,turan,,verb,,,eric
calm,mataro,,adjective,,,eric
can,ngulaig,,verb,,,eric
cannibal,mabaeg-purutan,,person,,,eric
canoe,gulö,,tool,,,eric
cape,gizu,,clothing,,,eric
cargo,gulngu-rugal,,collective,,,eric
carry,angeipa,,verb,,,eric
carry,toridiz,,verb,,,eric
cassowary,samu,,animal,,,eric
cast out,nguroweidan,,verb,,,eric
catch,gasamanö,,verb,,,eric
cave,sakai,,environment,,,eric
centre,dadalö,,geography,,,eric
centipede,saga,,animal,,,eric
chain,mapil-urukam,,tool,,,eric
chain,mitinit,,tool,,,eric
chair,niaiza,,tool,,,eric
charcoal,burker,,material,,,eric
charcoal,kubi,,material,,,eric
chase,wakaean,,verb,,,eric
cheek,dak,,body part,,,eric
cheek,bagö,,body part,,,eric
chest,bero,,body part,,,eric
chew,nadamai,,verb,,,eric
chief,kuikulnga,,person,,,eric
dagger,soki,,tool,,,eric
dagger,zorki,,tool,,,eric
dale,wakadar,,environment,,,eric
dance,kap,,verb,,,eric
dance,girar,,verb,,,eric
dance,gamudiwapa,,verb,,,eric
dark,kubilö,,adjective,,,eric
dark,inur,,adjective,,,eric
dash,taeaen,,verb,,,eric
daughter,ngawakazi,,person,,,eric
daughter,ipiegokazi,,person,,,eric
dawn,arö,,time,,,eric
dawn,moigi,,time,,,eric
day,göiga,,time,,,eric
daybreak,time,,arö,,,eric
dead,umanga,,adjective,,,eric
deaf,karengaigigö,,adjective,,,eric
death,uma,,status,,,eric
deceive,paruidizö,,verb,,,eric
deceive,ngalakipa,,verb,,,eric
ear,kursai,talinga,body part,,,eric
ear,kaura,talinga,body part,,,eric
earring,muti,,clothing,,,eric
earring,gagi,,clothing,,,eric
earth,baradar,,environment,,,eric
earth,apa,,environment,,,eric
east,waradogam,,environment,,,eric
east,palagis,,environment,,,eric
eat,purutaipa,,verb,,,eric
ebb,gato,,environment,,,eric
echo,nurö,,environment,,,eric
eclipse,wardan,,environment,,,eric
edge,dang,,environment,,,eric
edge,gizu,,environment,,,eric
egg,kakur,,food,,,eric
egret,kabai,,animal,,,eric
elbow,kudru,,body part,,,eric
elbow,kudu,,body part,,,eric
empty,zaginga,,adjective,,,eric
empty,aiginga,,adjective,,,eric
end,kutö,,common,,,eric
enemy,kubo,,person,,,eric
enemy,ridau,,person,,,eric
enter,muia-utiz,,verb,,,eric
enter,kami,,verb,,,eric
entire,mura,,adjective,,,eric
envy,imulizilamiz,,emotion,,,eric
equal,matangadagidö,,adjective,,,eric
erase,idimoin,,verb,,,eric
erect,nanitan,,adjective,,,eric
err,rimarim,,verb,,,eric
escape,adapatamöin,,verb,,,eric
escape,katpalagiz,,verb,,,eric
eternal,ngaru,,adjective,,,eric
even,matangadagido,,adjective,,,eric
evening,kutapa,,time,,,eric
evil,watipaua,,adjective,,,eric
example,minaman,,common,,,eric
exhort,dantaean,,verb,,,eric
explain,balbaigpalan,,verb,,,eric
eye,dan,ai,body part,,,eric
eye,purka,ai,body part,,,
eyeball,dun,,body part,,,eric
eyeball,purka,,body part,,,eric
eyebrow,beibǎsa,,body part,,,eric
eyelash,samudung,,body part,,,eric
eyelid,pura,,body part,,,eric
eyelid,dunasamu,,body part,,,eric
face,paru,,body part,,,eric
faint ,umuwalepa,,verb,,,eric
fall,ipiap,,verb,,,eric
fall,putizo,,verb,,,eric
false,ngölkai,,adjective,,,eric
far,koisigal,,adjective,,,eric
fast,matadobura,,adjective,,,eric
fat,buzar,,adjective,,,eric
fat,gam,,adjective,,,eric
father,tati,,person,,,eric
father,baba,,person,,,eric
fear,aka,,emotion,,,eric
feast,ta,,food,,,eric
feather,baba,,material,,,eric
feather,kaikai,,material,,,eric
feather,plis,,material,,,eric
feed,aidupoiban,,verb,,,eric
feel,karengemin,,verb,,,eric
fence,pa,,tool,,,eric
fence,ara,,tool,,,eric
game,sagulö,,activity,,,eric
garden,apö,,environment,,,eric
garden,daraba,,environment,,,eric
garment,dumawaku,,clothing,,,eric
gate,pasa,,tool,,,eric
gate,buta,,tool,,,eric
gauntlet,kadig,,tool,,,eric
generation,markuikö,,collective,,,eric
ghost,mari,,abstract,,,eric
girdle,wakau,,clothing,,,eric
girl,ipikazi,,person,,,eric
give,poibanö,,verb,,,eric
glad,ika,,emotion,,,eric
glad,igaligal,,emotion,,,eric
glance,dana-muktaean,,verb,,,eric
go,uzar,,verb,,,eric
go,ladun,,verb,,,eric
go,uteman,,verb,,,eric
god,augadö,,person,,,eric
good,kapu,,adjective,,,eric
hammerhead shark,korsi,,animal,,,eric
hand,apopauna,,body part,,,eric
hand,getö,,body part,,,eric
hang,puidan,,verb,,,eric
hang,dordimoin,,verb,,,eric
hard,ridanga,,adjective,,,eric
hasten,kikimizi,,verb,,,eric
hat,walup,,clothing,,,eric
hat,göuga,,clothing,,,eric
hatchet,turik,,tool,,,eric
hatchet,aga,,tool,,,eric
hate,tabukiri,,emotion,,,eric
hate,ngulamoin,,emotion,,,eric
have,aidai,,verb,,,eric
have,munia,,verb,,,eric
hawk,ngagalaig,,animal,,,eric
hawk,kausi,,animal,,,eric
I,ngai,,pronoun,,,eric
if,sike,,conjunction,,,eric
ignite,gamuidan,,verb,,,eric
ill,kikiri,,adjective,,,eric
image,ngadalga,,common,,,eric
image,uroi,,common,,,eric
imitate,puzida,,verb,,,eric
immediately,matadöbura,,adverb,,,eric
impossible,korawaig,,adjective,,,eric
impure,moaizinga,,adjective,,,eric
in,nu,,preposition,,,eric
incline,ioipa,,environment,,,eric
increase,sirisiri,,verb,,,eric
infant,mapeta,,person,,,eric
iniquity,ipidadö,,abstract,,,eric
iniquity,wati,,abstract,,,eric
inland,darba-nu,,environment,,,eric
inquire,iapopoibi,,verb,,,eric
insect,urui,,animal,,,eric
insect,baibuli,,animal,,,eric
inside,mui,,abstract,,,eric
inter,marama-toiaipa,,verb,,,eric
interpret,iungu-ngulaigö,,verb,,,eric
intestines,akur,,body part,,,eric
iron,turik,,material,,,eric
island,lagua,ailan,place,,,
island,lag,ailan,place,,,
it,noi,,pronoun,,,eric
itch,kurtumiz,,verb,,,eric
jaw,bagö,,body part,,,eric
join,,,verb,,,eric
joint,worǎm,,body part,,,eric
joint,woiam,,body part,,,eric
juice,sulizö,,food,,,eric
jump,katapulgipa,,verb,,,eric
just,balbaiginga,,adverb,,,eric
kangaroo,usa,,animal,,,eric
keep,angeipa,,verb,,,eric
kick,kukana,,verb,,,eric
kick,mapeipa,,verb,,,eric
kidney,pokiridö,,body part,,,eric
kill,uma-mataman,,verb,,,eric
kin,igalaig,,person,,,eric
kind,dalnga,,adjective,,,eric
kind,ngalnga,,adjective,,,eric
king,kuikulunga,,person,,,eric
kinsman,igalaig,,person,,,eric
kiss,gudo-tapaman,,verb,,,eric
knee,kolo,,body part,,,eric
knee,kulu,,body part,,,eric
kneel,kulu-idamanu,,verb,,,eric
knife,gi-turik,,tool,,,eric
knife (bamboo),upï,,tool,,,eric
know,ngulaig,,verb,,,eric
know,ngurupan,,verb,,,eric
know,kakal,,verb,,,eric
lad (young),zungri,,person,,,eric
lad (adolescent),kaukwik,,person,,,eric
lad (during initiation),karingi,,person,,,eric
lad (during initiation),kěrnge,,person,,,eric
lagoon,gawata,,environment,,,eric
lame,rapega,,adjective,,,eric
land,kawa,,environment,,,eric
land,lagö,,environment,,,eric
language,ia,,common,,,eric
large,köi,,adjective,,,eric
lash,mukuboidan,,verb,,,eric
lash,dirdimöinö,,verb,,,eric
last,wagel,,adjective,,,eric
laugh,gio,,verb,,,eric
laugh,napoidan,,verb,,,eric
law,sabi,,abstract,,,eric
lawful,matangadagidö,,adjective,,,eric
lay,kabutan,,verb,,,eric
lazy,gamakawasina,,adjective,,,eric
lea,ieutizi,,environment,,,eric
lea,turan,,environment,,,eric
mad,rimarim,,emotion,,,mohim
maid,paka,,person,,,mohim
make,aimaipa,,verb,,,mohim
make,nidiz,,verb,,,mohim
male,garakazi,,person,,,mohim
male,inile,,person,,,mohim
man,mabaeg,,person,,,mohim
mango,waiwi,,food,,,mohim
mangrove,taga,,environment,,,mohim
mangrove,kuiyur,,environment,,,mohim
mangrove,biiu,,environment,,,mohim
manner,pawa,,noun,,,mohim
many,koima,,abstract,,,mohim
many,köigorsar,,abstract,,,mohim
many,mura,,abstract,,,mohim
margun,gizu,,noun,,,mohim
mark,tonar-tidanö,,abstract,,,mohim
mark,minar,,abstract,,,mohim
marry,maipaielpan,,verb,,,mohim
marry,garoweidamoin,,verb,,,mohim
nail (toe),tal,,body part,,,eric
nail (toe),tar,,body part,,,eric
nail (metal),magina-malil,,tool,,,eric
naked,kasa-kupal,,adjective,,,eric
name,nel,,abstract,,,eric
narrow,katamiz,,adjective,,,eric
navel,kupur,,body part,,,eric
near,amadan,,adjective,,,eric
near,logi,,adjective,,,eric
neck,katö,,body part,,,eric
neck,modul,,body part,,,eric
neck,kut,,body part,,,eric
necklace,kamadö,,clothing,,,eric
necklace,soger,,clothing,,,eric
needle,sabu-kemus,,tool,,,eric
neighbour,töridan,,person,,,eric
nest,pakadö,,environment,,,eric
nest,fad,,environment,,,eric
nest,pad,,environment,,,eric
net,api,,tool,,,eric
net,törpi,,tool,,,eric
net,pingi,,tool,,,eric
oar,kaba,,tool,,,eric
obey,karengemin,,verb,,,eric
obscene,kogmer,,adjective,,,eric
octopus,sugu,sugu,animal,,,eric
of,-nö,,preposition,,,eric
often,köigörsar,,adverb,,,eric
oil,idi,,material,,,eric
old,kulpa,,adjective,,,eric
old,döbu,,adjective,,,eric
old,möroigö,,adjective,,,eric
on,gimal,,preposition,,,eric
one,wara,,number,,,eric
one,urapun,wan,number,,,eric
only,mata,,adverb,,,eric
ooze,iatiz,,verb,,,eric
open,adan,,verb,,,eric
open,pudan,,verb,,,eric
opossum,bait,,animal,,,eric
opossum,barit,,animal,,,eric
oppose,ridau,,verb,,,eric
order,iautumiz,,verb,,,eric
order,iamuitaean,,verb,,,eric
orifice,guago,,body part,,,eric
orifice,tarte,,body part,,,eric
other,wara,,adjective,,,eric
our,ngalpan,,determiner,,,eric
our,ngoimun,,determiner,,,eric
ourselves,ngöingöi,,pronoun,,,eric
outside,kala,,place,,,eric
outside,ada-dögam,,place,,,eric
outrigger,saima,,tool,,,eric
outrigger,sarima,,tool,,,eric
outrigger,togo,,tool,,,eric
oven,ǎmai,,tool,,,eric
oven,palagus,,tool,,,eric
over,gimia,,preposition,,,eric
over,gimal,,preposition,,,eric
oyster,ita,,animal,,,eric
oyster,itro,,animal,,,eric
oyster,awidö,,animal,,,eric
paddle (noun),kaba,,tool,,,eric
paddle (noun),karaba,,tool,,,eric
paddle (verb),puban,,verb,,,eric
paddle (verb),kabanitunö,,verb,,,eric
pain,kikir,,status,,,eric
paint,auei,,material,,,eric
paint,bud,,material,,,eric
pair,sepal,,collective,,,eric
pair,palae,,collective,,,eric
paling,pa,,tool,,,eric
paling,ara,,tool,,,eric
palsy,umuwalepa,,medical,,,eric
pandanus,kasa,,environment,,,eric
pandanus,gara,,environment,,,eric
paradise bird,dǎgam,,animal,,,eric
pardon,getö-waniz,,verb,,,eric
part,ködu,,common,,,eric
pass,pasia,,verb,,,eric
past,adapadan,,adjective,,,eric
path,iabu,,environment,,,eric
path,iabuguda,,environment,,,eric
queen,kuiku-ipi,,person,,,Arctus
quench,usimoin,,verb,,,Arctus
question,iapupoibiz,,inquiry,,,Arctus
quick,kikimizi,,adjective,,,Arctus
quiet,kasa-iaigiasin,,adjective,,,Arctus
rage,tabukir,,emotion,,,Arctus
rain,ari,,enviroment,,,Arctus
rainbow,oripara,,enviroment,,,Arctus
raise,toridiz,,verb,,,Arctus
rat,makasŏ,,animal,,,Arctus
receive,töridiz,,verb,,,Arctus
red,kulka,,colour,,,Arctus
red,parma,,colour,,,Arctus
red,paruma,,colour,,,Arctus
reef,mazan,,nature,,,Arctus
refuge,muiariz,,safety,,,Arctus
refuse,laungaman,,safety,,,Arctus
rejoice,ikatiaiba,,verb,,,Arctus
remain,apanator,,verb,,,Arctus
remain,unaizö,,verb,,,Arctus
remember,ngonanama,,verb,,,Arctus
repair,butupatapia,,verb,,,Arctus
reply,kuduman,,communication,,,Arctus
reply,muli,,communication,,,Arctus
rest,ngöna,,verb,,,Arctus
return,kuniatidiz,,verb,,,Arctus
ridge,töra,,geography,,,Arctus
rich,zapul,,status,,,Arctus
river,kösa,,geography,,,Arctus
river,böbu,,geography,,,Arctus
road,iabu,,geography,,,Arctus
rob,puru,,verb,,,Arctus
rock,mukö,,geography,,,Arctus
root,kuik,,geography,,,Arctus
shark,baidamö,sak,animal,,,eric
shark,baidham,sak,animal,,,eric
sky,dapar,skai,environment,,,eric
sky,je,skai,environment,,,eric
sea,malu,solwata,environment,,,eric
sea,ur,solwata,environment,,,eric
sea,bau,solwata,environment,,,eric
spider,enti,spaida,animal,,,eric
spider,ma,spaida,animal,,,eric
spear,dagul,spiya,tool,,,eric
sago palm,bisi,,environment,,,eric
sail,gul-waku,,tool,,,eric
sail,amori,,tool,,,eric
salt,usabutu,,salt,,,eric
salt water,adabu,,environment,,,eric
salt water,adabadu,,environment,,,eric
same,urapa,,adjective,,,eric
same,matangagid,,adjective,,,eric
sand,bukö,,environment,,,eric
sand,surum,,environment,,,eric
sap,ikai,,environment,,,eric
sawfish,waiitutu,,animal,,,eric
say,muliz,,verb,,,eric
say,iamuliz,,verb,,,eric
scalp,göngau,,body part,,,eric
scar,babur,,medical,,,eric
scold,silamai,,verb,,,eric
scold,ideipa,,verb,,,eric
scrape,iban,,verb,,,eric
scratch,kurtumiz,,verb,,,eric
scream,makiam,,verb,,,eric
scriptures,tusi,,tool,,,eric
seashore,tawala,,environment,,,eric
search,luman,,verb,,,eric
seat,niailagö,,tool,,,eric
seaweed,damu,,environment,,,eric
secret,kumi,,adjective,,,eric
see,imaipa,,verb,,,eric
see,nagepa,,verb,,,eric
seed,köusa,,environment,,,eric
seed,kapu,,environment,,,eric
seek,luman,,verb,,,eric
seize,gasaman,,verb,,,eric
self,kusaig,,abstract,,,eric
sell,zapudamoin,,verb,,,eric
send,wasan,,verb,,,eric
send,zapawaean,,verb,,,eric
separate,dadömamain,,verb,,,eric
separate,komakoma,,verb,,,eric
separate,maram-gudö,,verb,,,eric
serpent,tabu,,animal,,,eric
serpent,elma,,animal,,,eric
set,putizö,,verb,,,eric
sew,pagamöin,,verb,,,eric
sew,widan,,verb,,,eric
shade,iradu-aban,,environment,,,eric
shadow,rimö,,environment,,,eric
shake,galupan,,verb,,,eric
sham,ngolkai,,abstract,,,eric
shame,asir,,emotion,,,eric
share,kupai,,verb,,,eric
sharp,köigizu,,adjective,,,eric
sharp,gizule,,adjective,,,eric
shave,luwaean,,verb,,,eric
shave,iatapatizo,,verb,,,eric
she,na,,pronoun,,,eric
sheep,mamoe,,animal,,,eric
shelf,zaungalaig,,tool,,,eric
shell,waipa,,environment,,,eric
shield,akamaiza,,tool,,,eric
shield,bada,,tool,,,eric
shield,arepa,,verb,,,eric
shin,tara,,body part,,,eric
shin bone,bru-rida,,body part,,,eric
shine,pönipan,,verb,,,eric
shine,meketu,,verb,,,eric
ship,arawi-gul,,tool,,,eric
shoe,azazi-san,,clothing,,,eric
shoot,tadin,,verb,,,eric
shore,tawala,,environment,,,eric
shore,taman,,environment,,,eric
short,taupainga,,adjective,,,eric
shoulder,tabai,,body part,,,eric
shove,taean,,verb,,,eric
show,iakaman,,verb,,,eric
show,sesitaman,,verb,,,eric
shrimp,gagi,,animal,,,eric
shut,tamudan,,verb,,,eric
sick,kikiri,,adjective,,,eric
side,buadia,,common,,,eric
side,kam,,common,,,eric
side,uiu,,common,,,eric
sigh,körkak-öbado,,verb,,,eric
sign,tonar,,verb,,,eric
silence,iaga,,abstract,,,eric
silence,iagiasin,,abstract,,,eric
silence,aragi,,abstract,,,eric
sin,ipidadö,,abstract,,,eric
sin,watipawa,,abstract,,,eric
sinew,kirer,,body part,,,eric
sing,napoidan,,verb,,,eric
sink,dudupiz,,verb,,,eric
sister,babǔd,,person,,,eric
sister,babad,,person,,,eric
sister,tokiǔp,,person,,,eric
sister,tokiap,,person,,,eric
skin (human),gönau,,body part,,,eric
skin (human),gam,,body part,,,eric
skin (human),gungau,,body part,,,eric
skin (animal),pura,,body part,,,eric
skull,kuikö,,body part,,,eric
sleep,utui,,verb,,,eric
sling,kubai,,tool,,,eric
slip,paget-wanizö,,verb,,,eric
slow,gabudan,,adjective,,,eric
slow,sobaidiz,,adjective,,,eric
small,magina,,adjective,,,eric
smart,sobaginga,,adjective,,,eric
smash,palga-palan,,verb,,,eric
smell,ganu,,verb,,,eric
smell,pulman,,verb,,,eric
smile,masiatödimisö,,verb,,,eric
smoke,tu,,environment,,,eric
smooth,zeinga,,adjective,,,eric
snake,tabu,,animal,,,eric
snake,elma,,animal,,,eric
sneeze,asarö,,verb,,,eric
snore,paran-matapa,,verb,,,eric
snout,kaigutalpiti,,body part,,,eric
so,keda,,adverb,,,eric
sob,koingöna poidan,,verb,,,eric
soft,piranga,,adjective,,,eric
soil,baradar,,environment,,,eric
soil,apa,,environment,,,eric
some,durai,,determiner,,,eric
son,kazi,,person,,,eric
song,na,,speech,,,eric
song,na-poidanö,,speech,,,eric
soon,kaibö,,time,,,eric
sorcerer,maidělǎg,,person,,,eric
sorcery,maiǐd,,abstract,,,eric
sore,kikiri,,adjective,,,eric
sore,badale,,adjective,,,eric
sore,bada,,adjective,,,eric
sorrow,ikan-pungaipa,,emotion,,,eric
soul,mari,,abstract,,,eric
sound,nurai,,environment,,,eric
sour,mitaiginga,,adjective,,,eric
sour,teralnga,,adjective,,,eric
south,zadögam,,environment,,,eric
south,nangap,,environment,,,eric
south,je,,environment,,,eric
south-east,aibu,,environment,,,eric
south-east,waura,,environment,,,eric
sow,ipukaja-burumö,,animal,,,eric
sow,utuipa,,verb,,,eric
spark,kökaper,,environment,,,eric
speak,mulai,,verb,,,eric
speak,iamuliz,,verb,,,eric
speech,maumisinö,,speech,,,eric
spew,magiz,,verb,,,eric
spine,göru-rid,,body part,,,eric
spirit,mari,,abstract,,,eric
spit,mos-aladiz,,material,,,eric
spittle,mos,,material,,,eric
split,palamöin,,verb,,,eric
spoil,idimoin,,verb,,,eric
sponge,diadi,,tool,,,eric
sponge,parzara,,tool,,,eric
spot,badö,,verb,,,eric
spread,poidamoin,,verb,,,eric
spread,tapi,,verb,,,eric
spring,palagiz,,verb,,,eric
spring,kuki,,verb,,,eric
square,muiilinga,,verb,,,eric
squeeze,sasiman,,verb,,,eric
stab,banitan,,verb,,,eric
staff,bogi,,tool,,,eric
stalk,malegui,,verb,,,eric
stand,kadai-tariz,,verb,,,eric
star,titui,,environment,,,eric
star,tituri,,environment,,,eric
start,madupaman,,verb,,,eric
stay,ngöna-pudis,,verb,,,eric
steal,puru,,verb,,,eric
steer,kuli-töidiz,,verb,,,eric
stick,bogi,,tool,,,eric
sting-ray,tapimula,,animal,,,eric
sting-ray,aona,,animal,,,eric
stink,watiganu,,verb,,,eric
stomach,maita,,body part,,,eric
stomach,wera,,body part,,,eric
stone,kula,,environment,,,eric
stoop,apasin,,verb,,,eric
stop,seautari,,verb,,,eric
storm,köi-gubö,,environment,,,eric
straight,balbaiginga,,adjective,,,eric
stream,kasa,,environment,,,eric
stream,böbu,,environment,,,eric
strike,mataman,,verb,,,eric
strike,urimanö,,verb,,,eric
string,yadal,,tool,,,eric
string,urukamö,,tool,,,eric
strong,magas,,adjective,,,eric
strong,munakunanga,,adjective,,,eric
strong,kunakunanga,,adjective,,,eric
strong,kaibibirilinga,,adjective,,,eric
suck,suzu,,verb,,,eric
suck,puiman,,verb,,,eric
suffer,kikir,,verb,,,eric
sugar-cane,geru,,environment,,,eric
summit,gimalö,,environment,,,eric
sun,göiga,,environment,,,eric
sunrise,göiga-palagizö,,time,,,eric
sunset,göiga-putizö,,time,,,eric
swallow,angemin,,verb,,,eric
swear,gudo-tadiz,,verb,,,eric
sweat,magö,,verb,,,eric
sweat,murug,,verb,,,eric
sweet,mitalnga,,adjective,,,eric
sweet-potato,urugabau,,food,,,eric
sweet-potato,rugǎbu,,food,,,eric
swim,tapeipa,,verb,,,eric
swim,waeapa,,verb,,,eric
table,biraig,,tool,,,Arctus
table,laulau,,tool,,,Arctus
tail,kob,,animal,,,Arctus
tail,babun,,animal,,,Arctus
take,mani,,verb,,,Arctus
take,meipa,,verb,,,Arctus
talk,muliz,,verb,,,Arctus
tall,köikutalnga,,adjective,,,Arctus
